Timestamp,Position,Nearest distance,Action,d2target, d2building, d2obstacle1, d2obstacle2, d2obstacle3, d2obstacle4, d2obstacle5
1, 12.69 1 -13.915, 0.8000433, 6, 11.35267,8.920239,2.577187,3.135576,5.177181,7.564077,9.80559
2, 12.39 1 -13.915, 0.5116706, 6, 11.1433,8.65556,2.324682,3.277316,5.036964,7.580112,9.66681
3, 12.09 1 -13.915, 0.2361502, 6, 10.93814,8.393258,2.084802,3.439444,4.91109,7.607951,9.535452
4, 11.79 1 -13.915, 0.1750016, 6, 10.73746,8.133562,1.862433,3.619218,4.800688,7.647467,9.411826
5, 11.49 1 -13.915, 0.1750016, 6, 10.54149,7.87673,1.664605,3.814146,4.706847,7.698479,9.296242
6, 11.19 1 -13.915, 0.1750016, 6, 10.35051,7.623053,1.501055,4.022025,4.630573,7.760761,9.189001
7, 10.89 1 -13.915, 0.1750016, 6, 10.16479,7.372855,1.383987,4.240949,4.572746,7.834043,9.0904
8, 10.59 1 -13.915, 0.1750016, 6, 9.984638,7.126503,1.325774,4.469298,4.534072,7.918021,9.000722
9, 10.29 1 -13.915, 0.1750016, 6, 9.810352,6.884409,1.334141,4.705698,4.515043,8.012359,8.920237
10, 9.989998 1 -13.915, 0.1750016, 6, 9.642251,6.647041,1.407902,4.948996,4.515907,8.116693,8.849195
11, 9.689998 1 -13.915, 0.1750016, 6, 9.480665,6.41492,1.537675,5.198224,4.536653,8.230647,8.787827
12, 9.389997 1 -13.915, 0.1750016, 6, 9.325932,6.18864,1.71076,5.452569,4.57701,8.353824,8.736334
13, 9.089997 1 -13.915, 0.1750016, 6, 9.178399,5.968862,1.915452,5.711346,4.636467,8.485824,8.694892
14, 8.789997 1 -13.915, 0.2949957, 6, 9.038419,5.756333,2.142712,5.973981,4.7143,8.626241,8.663648
15, 8.789997 1 -13.615, 0.2259798, 0, 8.772116,5.544687,1.971963,5.838211,4.427962,8.364577,8.364825
16, 8.789997 1 -13.315, 0.2259798, 0, 8.508056,5.341511,1.834684,5.714978,4.143558,8.105571,8.066092
17, 8.489997 1 -13.315, 0.52598, 6, 8.367617,5.120527,2.11384,5.99249,4.25169,8.26336,8.043598
18, 8.489997 1 -13.015, 0.52598, 0, 8.101481,4.918128,2.031193,5.887801,3.977322,8.012318,7.744094
19, 8.489997 1 -12.715, 0.52598, 0, 7.837793,4.726115,1.990772,5.796763,3.706928,7.764751,7.444631
20, 8.489997 1 -12.415, 0.4248559, 0, 7.576807,4.545805,1.995144,5.720028,3.441443,7.521003,7.145212
21, 8.489997 1 -12.115, 0.3254585, 0, 7.318811,4.378645,2.044022,5.658179,3.182099,7.281457,6.845845
22, 8.489997 1 -11.815, 0.3254585, 0, 7.064135,4.226194,2.134351,5.611706,2.930525,7.046541,6.546535
23, 8.489997 1 -11.515, 0.3254585, 0, 6.813148,4.090099,2.261168,5.580996,2.688903,6.816734,6.247292
24, 8.489997 1 -11.215, 0.3254585, 0, 6.566277,3.972039,2.418741,5.566307,2.460166,6.592571,5.948124
25, 8.489997 1 -10.915, 0.2504823, 0, 6.324001,3.873665,2.601487,5.567768,2.248253,6.374647,5.649045
26, 8.489997 1 -10.615, 0.1610069, 0, 6.08687,3.796507,2.804489,5.585364,2.058364,6.163623,5.35007
27, 8.489997 1 -10.315, 0.1610069, 0, 5.855509,3.741879,3.023671,5.618947,1.897125,5.960233,5.051216
28, 8.489997 1 -10.015, 0.1610069, 0, 5.63063,3.710774,3.255767,5.668229,1.772373,5.765285,4.752506
29, 8.489997 1 -9.714998, 0.1610069, 0, 5.413039,3.703786,3.498206,5.732808,1.692197,5.579662,4.453969
30, 8.489997 1 -9.414998, 0.1610069, 0, 5.203651,3.721051,3.748983,5.812172,1.663055,5.404328,4.155644
31, 8.489997 1 -9.114998, 0.1610069, 0, 5.003498,3.762234,4.006533,5.905727,1.687595,5.240314,3.857578
32, 8.489997 1 -8.814998, 0.1610069, 0, 4.813729,3.826564,4.269629,6.012809,1.763576,5.088715,3.559838
33, 8.489997 1 -8.514997, 0.1610069, 0, 4.635622,3.912899,4.537308,6.132711,1.884787,4.950671,3.262511
34, 8.489997 1 -8.214997, 0.1610069, 0, 4.470569,4.019822,4.808804,6.264695,2.043195,4.827346,2.965723
35, 8.489997 1 -7.914997, 0.2324077, 0, 4.320068,4.14574,5.083505,6.408016,2.23089,4.719894,2.669652
36, 8.489997 1 -7.614997, 0.3254585, 0, 4.185688,4.28898,5.360919,6.561931,2.441126,4.62942,2.374569
37, 8.489997 1 -7.314997, 0.3463457, 0, 4.069028,4.447869,5.640646,6.725712,2.66858,4.556935,2.080892
38, 8.277864 1 -7.102865, 0.3313432, 7, 3.797036,4.398593,5.915205,7.020591,2.966872,4.726356,1.834648
39, 8.065732 1 -6.890733, 0.5044639, 7, 3.529586,4.369406,6.192125,7.315887,3.265477,4.90828,1.606785
40, 7.8536 1 -6.678601, 0.5060911, 7, 3.267793,4.36071,6.471103,7.611551,3.564317,5.101371,1.406265
41, 7.5536 1 -6.678601, 0.5060911, 6, 2.978307,4.1552,6.598429,7.857895,3.764837,5.400802,1.475483
